date,case,DLRt,DLAccases,Accase,DLdaily
2020/05/07 12:00:00+00,399,0.9112483,19250.678,19121,413.33203125
2020/05/08 12:00:00+00,477,0.9064108,19658.059,19598,407.380859375
2020/05/09 12:00:00+00,346,0.90210843,20059.588,19944,401.529296875
2020/05/10 12:00:00+00,294,0.89828515,20455.414,20238,395.826171875
2020/05/11 12:00:00+00,308,0.89488864,20845.666,20546,390.251953125
2020/05/12 12:00:00+00,361,0.89187324,21230.48,20907,384.814453125
2020/05/13 12:00:00+00,329,0.8891971,21609.96,21236,379.48046875
2020/05/14 12:00:00+00,258,0.8868221,21984.207,21494,374.24609375
2020/05/15 12:00:00+00,428,0.88471663,22353.316,21922,369.109375
2020/05/16 12:00:00+00,391,0.8828497,22717.373,22313,364.056640625
2020/05/17 12:00:00+00,340,0.8811947,23076.473,22653,359.099609375
2020/05/18 12:00:00+00,304,0.8797283,23430.7,22957,354.2265625
2020/05/19 12:00:00+00,427,0.87842846,23780.13,23384,349.431640625
2020/05/20 12:00:00+00,390,0.87727726,24124.857,23774,344.7265625
2020/05/21 12:00:00+00,413,0.87625754,24464.951,24187,340.09375
2020/05/22 12:00:00+00,441,0.8753543,24800.498,24628,335.546875
2020/05/23 12:00:00+00,412,0.87455463,25131.55,25040,331.052734375
2020/05/24 12:00:00+00,460,0.8738471,25458.209,25500,326.658203125
2020/05/25 12:00:00+00,404,0.8732196,25780.518,25904,322.30859375
2020/05/26 12:00:00+00,287,0.8726646,26098.57,26191,318.052734375
2020/05/27 12:00:00+00,292,0.8721732,26412.4,26483,313.830078125
2020/05/28 12:00:00+00,383,0.87173843,26722.088,26866,309.6875
2020/05/29 12:00:00+00,344,0.87135315,27027.691,27210,305.603515625
2020/05/30 12:00:00+00,323,0.87101245,27329.268,27533,301.576171875
2020/05/31 12:00:00+00,326,0.87071073,27626.871,27859,297.603515625
2020/06/01 12:00:00+00,404,0.8704438,27920.557,28263,293.685546875
2020/06/02 12:00:00+00,446,0.8702073,28210.377,28709,289.8203125
2020/06/03 12:00:00+00,338,0.8699982,28496.385,29047,286.0078125
2020/06/04 12:00:00+00,356,0.86981344,28778.635,29403,282.25
2020/06/05 12:00:00+00,344,0.8696495,29057.174,29747,278.5390625
2020/06/06 12:00:00+00,455,0.8695042,29332.057,30202,274.8828125
2020/06/07 12:00:00+00,415,0.8693757,29603.33,30617,271.2734375
2020/06/08 12:00:00+00,243,0.8692627,29871.043,30860,267.712890625
2020/06/09 12:00:00+00,230,0.86916184,30135.248,31090,264.205078125
2020/06/10 12:00:00+00,251,0.8690729,30395.982,31341,260.734375
2020/06/11 12:00:00+00,203,0.8689947,30653.305,31544,257.322265625
2020/06/12 12:00:00+00,182,0.868925,30907.258,31726,253.953125
2020/06/13 12:00:00+00,266,0.86886334,31157.887,31992,250.62890625
2020/06/14 12:00:00+00,197,0.86880875,31405.23,32189,247.34375
2020/06/15 12:00:00+00,181,0.86876035,31649.328,32370,244.09765625
2020/06/16 12:00:00+00,184,0.86871743,31890.242,32554,240.9140625
2020/06/17 12:00:00+00,190,0.86867964,32128.008,32744,237.765625
2020/06/18 12:00:00+00,173,0.86864614,32362.658,32917,234.650390625
2020/06/19 12:00:00+00,178,0.8686167,32594.236,33095,231.578125
2020/06/20 12:00:00+00,206,0.86859035,32822.79,33301,228.552734375
2020/06/21 12:00:00+00,175,0.8685671,33048.36,33476,225.5703125
2020/06/22 12:00:00+00,161,0.8685466,33270.977,33637,222.6171875
2020/06/23 12:00:00+00,216,0.86852837,33490.68,33853,219.703125
2020/06/24 12:00:00+00,163,0.8685124,33707.51,34016,216.83203125
2020/06/25 12:00:00+00,189,0.86849797,33921.508,34205,213.99609375
