date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2020-02-27,R,NA,estimate,1.860188225625603,1.8649102244417262,0.13671776542653213,1.6472059346091679,1.7689168349941808,1.8282725629697718,1.8903691654009176,1.9541341851449001,2.09265090475702
2020-02-28,R,NA,estimate,1.8545147252781218,1.8589610641821344,0.1252509304062336,1.6581074458417169,1.7715791230271065,1.824289688301273,1.8823641837252132,1.9454754071771982,2.074105968322737
2020-02-29,R,NA,estimate,1.848415350914693,1.8539375914230498,0.11732141327525483,1.6659043076053355,1.774636002177738,1.8218968910373392,1.8791545855857195,1.9333067190173403,2.0592136877112224
2020-03-01,R,NA,estimate,1.844278486587763,1.8495892546156953,0.11196013485574802,1.6717220281416403,1.7754271441332719,1.8192701056863714,1.87483125392521,1.9259557005272954,2.040101696048564
2020-03-02,R,NA,estimate,1.840695755112352,1.8455602664664508,0.10822749644969781,1.6731438458298995,1.7727691484964962,1.8149943294672635,1.870240884570129,1.918284091581174,2.027761346095545
2020-03-03,R,NA,estimate,1.8372095390706522,1.8414242098060873,0.10533497956062358,1.6701205469349747,1.7715345470779689,1.8118362494061548,1.8644760129380213,1.910182028971617,2.019151326565383
2020-03-04,R,NA,estimate,1.832913315314831,1.8367357988787514,0.10268100325317862,1.6718446576150927,1.7677995390024108,1.807952599659659,1.8597529170734783,1.9032926466317532,2.0114573345829716
2020-03-05,R,NA,estimate,1.8265876952081959,1.8310956165366463,0.09983721461296442,1.6726035318761459,1.7637850706311458,1.8027140244016178,1.852968545792191,1.893854411076733,2.0024979842261605
2020-03-06,R,NA,estimate,1.8193671836065142,1.8242190266964606,0.09652657087510354,1.6696660141613369,1.7581333970913857,1.7960081796022738,1.8444513870067074,1.8868273045404562,1.9921327280241234
2020-03-07,R,NA,estimate,1.8111057173805138,1.8159968007501401,0.09262520439128222,1.6723277587883667,1.7544090626772146,1.7892068556126188,1.8341595715545438,1.8748372393129475,1.9726980817498951
2020-03-08,R,NA,estimate,1.8024679312028884,1.8065336421216438,0.08819859586246455,1.6673670324082328,1.7468929441104588,1.7816461989753707,1.8255141954613223,1.8633731208626898,1.9549569253573678
2020-03-09,R,NA,estimate,1.7941884264196755,1.7961527352518516,0.08354156359698849,1.66226975027868,1.7406814453986805,1.7746143496619062,1.8151275612770383,1.8497579113897555,1.9352130458513404
2020-03-10,R,NA,estimate,1.7854908133915193,1.7853600462205816,0.07914868254693866,1.6566449884041614,1.7327240695846229,1.76638299287527,1.80240421233501,1.8379410500331879,1.912911282559155
