"","date","case","DeepLearningRt","EpiEstimRt","EpiNow2Rt","KalmanRt","DeepLearningIt","EpiEstimIt","EpiNow2It","EmsembleRt","EmsembleIt"
"1",2020-03-01,4,2.7862616,4.701889559,1.84142420980609,3.83429702,2.02051734924316,4,1.9945,3.1098584562687,2.67167244974772
"2",2020-03-02,0,2.5024886,4.189812959,1.83673579887875,4.182555398,2.12058067321777,0,2.415,2.84301245262625,1.51186022440592
"3",2020-03-03,5,2.3538513,2.857580267,1.83109561653665,2.7195391,2.26898670196533,5,3.4175,2.34750906117888,3.56216223398844
"4",2020-03-04,0,2.3005667,3.013091168,1.82421902669646,2.127140684,2.49555397033691,0,3.8045,2.37929229823215,2.1000179901123
"5",2020-03-05,2,2.312314,4.237624435,1.81599680075014,2.259244856,2.82203483581543,2,4.657,2.78864507858338,3.15967827860514
"6",2020-03-06,6,2.3664048,5.066977581,1.80653364212164,2.006568722,3.26729583740234,6,5.692,3.07997200770721,4.98643194580078
"7",2020-03-07,0,2.4459867,6.594289505,1.79615273525185,1.68282898,3.85647392272949,0,6.624,3.61214298008395,3.4934913075765
"8",2020-03-08,4,2.5385172,8.866745045,1.78536004622058,1.969081625,4.61972427368164,4,7.8535,4.39687409707353,5.49107475789388
"9",2020-03-09,3,2.6346207,9.88431616,1.77477045531817,1.795119858,5.59433364868164,3,9.5475,4.76456910510606,6.04727788289388
"10",2020-03-10,2,2.7273238,9.171142547,1.76500637608818,1.552039462,6.82847213745117,2,12.802,4.55449090769606,7.21015737915039
"11",2020-03-11,5,2.8115838,8.673164309,1.75658509051646,3.256866903,8.38651275634766,5,14.917,4.41377773317215,9.43450425211589
"12",2020-03-12,17,2.8839936,8.094385148,1.74981172650162,4.028623713,10.3372421264648,17,17.694,4.24273015816721,15.0104140421549
"13",2020-03-13,20,2.942563,7.676794639,1.74469146289431,4.473724319,12.7649154663086,20,20.947,4.12134970063144,17.9039718221029
"14",2020-03-14,24,2.9864976,6.923456424,1.74087004770653,5.27346908,15.7724990844727,24,24.4895,3.88360802390218,21.4206663614909
"15",2020-03-15,42,3.0159323,5.609266182,1.73760883683665,4.618244039,19.4767684936523,42,28.8165,3.45426910627888,30.0977561645508
"16",2020-03-16,32,3.0316374,5.23893472,1.73380022605376,3.265617763,23.9977798461914,32,33.7125,3.33479078201792,29.9034266153971
"17",2020-03-17,12,3.034724,5.214788218,1.72803028143832,2.76481667,29.4868011474609,12,45.531,3.32584749981277,29.0059337158203
"18",2020-03-18,25,3.026386,5.113941563,1.71869486375411,2.69823086,36.1082305908203,25,52.8525,3.28634080891804,37.9869101969401
"19",2020-03-19,44,3.0077477,5.418784369,1.70417062151614,2.574383968,44.0176544189453,44,61.495,3.37690089683871,49.8375514729818
"20",2020-03-20,60,2.979788,5.160699425,1.68303101033061,2.571338955,53.3668212890625,60,72.95,3.2745061451102,62.1056070963542
"21",2020-03-21,59,2.9433424,4.997622021,1.65428076965636,2.622151143,64.3353271484375,59,83.161,3.19841506355212,68.8321090494792
"22",2020-03-22,48,2.899159,5.176285912,1.6175649561388,2.762848314,77.0763854980469,48,96.518,3.2310032893796,73.8647951660156
"23",2020-03-23,78,2.8479648,5.719288973,1.57329958715679,2.682011541,91.6598815917969,78,114.3825,3.3801844533856,94.6807938639323
"24",2020-03-24,85,2.790514,5.593425595,1.5226795432874,2.574131894,108.144653320312,85,152.4185,3.30220637942913,115.187717773437
